Sample,lemma-name,relative-acc_w (change) per shot,number of shots
1,step_pl_eq,,
2,step_seval,,
3,lstar_transitive,,
4,star_transitive,,
5,lstar_star,,
6,star_lstar,,
7,star_seval,,
8,steps_preserves_eval,,
9,star_strem,,
10,star_stls,,
11,star_stbsl,,
12,star_stbsr,,
13,lstar_stls,,
14,lstar_strem,,
15,lstar_stbsl,,
16,lstar_stbsr,,
17,lstar_stbparl,,
18,lstar_stbparr,,
19,star_stbp,,
20,nstar_transitive,,
21,nstar_star,,
22,star_nstar,,
23,halt_size,,
24,step_size,,
25,step_count,,
26,nlstar_transitive,,
27,nlstar_lstar,,
28,lstar_nlstar,,
29,nlstar_step_size,,
30,lstar_nlstar_size,,
31,rlstar_transitive,,
32,rlstar_lstar,,
33,lstar_rlstar,,
34,rlstar_nlstar,,
